Code Domaine,Domaine,Code zone,Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur
"FBS","Bilans Alimentaires (2010-)","255","Belgique","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","320"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","187"
"FBS","Bilans Alimentaires (2010-)","23","Belize","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","21"
"FBS","Bilans Alimentaires (2010-)","23","Belize","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0"
"FBS","Bilans Alimentaires (2010-)","23","Belize","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","21"
"FBS","Bilans Alimentaires (2010-)","53","B?nin","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","15"
"FBS","Bilans Alimentaires (2010-)","53","B?nin","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","117"
"FBS","Bilans Alimentaires (2010-)","53","B?nin","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","121"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (?tat plurinational de)","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","494"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (?tat plurinational de)","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","2"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (?tat plurinational de)","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","496"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herz?govine","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","70"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herz?govine","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","11"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herz?govine","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","56"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","2"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","5"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","7"
"FBS","Bilans Alimentaires (2010-)","21","Br?sil","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","14137"
"FBS","Bilans Alimentaires (2010-)","21","Br?sil","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","5"
"FBS","Bilans Alimentaires (2010-)","21","Br?sil","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","9907"
"FBS","Bilans Alimentaires (2010-)","27","Bulgarie","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","109"
"FBS","Bilans Alimentaires (2010-)","27","Bulgarie","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","111"
"FBS","Bilans Alimentaires (2010-)","27","Bulgarie","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","161"
"FBS","Bilans Alimentaires (2010-)","233","Burkina Faso","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","44"
"FBS","Bilans Alimentaires (2010-)","233","Burkina Faso","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0"
"FBS","Bilans Alimentaires (2010-)","233","Burkina Faso","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","44"
"FBS","Bilans Alimentaires (2010-)","29","Burundi","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","7"
"FBS","Bilans Alimentaires (2010-)","29","Burundi","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0"
"FBS","Bilans Alimentaires (2010-)","29","Burundi","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","7"
"FBS","Bilans Alimentaires (2010-)","35","Cabo Verde","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1"
"FBS","Bilans Alimentaires (2010-)","35","Cabo Verde","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","13"
"FBS","Bilans Alimentaires (2010-)","35","Cabo Verde","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","10"
"FBS","Bilans Alimentaires (2010-)","115","Cambodge","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","28"
"FBS","Bilans Alimentaires (2010-)","115","Cambodge","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1"
"FBS","Bilans Alimentaires (2010-)","115","Cambodge","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","36"
"FBS","Bilans Alimentaires (2010-)","32","Cameroun","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","84"
"FBS","Bilans Alimentaires (2010-)","32","Cameroun","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","2"
"FBS","Bilans Alimentaires (2010-)","32","Cameroun","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","85"
"FBS","Bilans Alimentaires (2010-)","33","Canada","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1504"
"FBS","Bilans Alimentaires (2010-)","33","Canada","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","179"
"FBS","Bilans Alimentaires (2010-)","33","Canada","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1537"
"FBS","Bilans Alimentaires (2010-)","40","Chili","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","769"
"FBS","Bilans Alimentaires (2010-)","40","Chili","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","137"
"FBS","Bilans Alimentaires (2010-)","40","Chili","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","680"
"FBS","Bilans Alimentaires (2010-)","96","Chine - RAS de Hong-Kong","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","19"
"FBS","Bilans Alimentaires (2010-)","96","Chine - RAS de Hong-Kong","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","773"
"FBS","Bilans Alimentaires (2010-)","96","Chine - RAS de Hong-Kong","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","440"
"FBS","Bilans Alimentaires (2010-)","128","Chine - RAS de Macao","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","3"
"FBS","Bilans Alimentaires (2010-)","128","Chine - RAS de Macao","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","32"
"FBS","Bilans Alimentaires (2010-)","128","Chine - RAS de Macao","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","22"
"FBS","Bilans Alimentaires (2010-)","41","Chine, continentale","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","20442"
"FBS","Bilans Alimentaires (2010-)","41","Chine, continentale","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","795"
"FBS","Bilans Alimentaires (2010-)","41","Chine, continentale","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","20001"
"FBS","Bilans Alimentaires (2010-)","214","Chine, Taiwan Province de","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","731"
"FBS","Bilans Alimentaires (2010-)","214","Chine, Taiwan Province de","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","215"
