Code Domaine,Domaine,Code zone,Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur
"FBS","Bilans Alimentaires (2010-)","10","Australie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1099"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","72.91"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3691"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","108.95"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1154"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","64.49"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3154"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","95.92"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","579"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","34.66"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2626"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","76.1"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","749"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","48.43"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2626"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","61.33"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","123"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","12.22"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2989"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","90.04"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","713"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","50.77"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3295"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","91.65"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","836"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","49.78"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3800"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","100.34"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1257"
